	Date	ticker	buy_sell_point	Close	Volume	POS_score	POS_num	NEG_score	NEG_num	POS_score_list	NEG_score_list	POS_models_name	NEG_moldel_name
22	2025-07-07 01:30:00	2318.HK	0	49.5	2126000	171	2]	155	2]	96%75	60%95	2318.HK_pos_good9_mult_lstm, 2318.HK_pos_reg4_mult_lstm	2318.HK_neg_low1__mult_gru, 2318.HK_neg_reg4_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	95%98	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	130	2]	189	2]	80%50	96%93	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1088.HK	0	30.85	631000	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1088.HK	0	30.65	631000	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	95%98	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	130	2]	189	2]	80%50	96%93	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1088.HK	0	30.85	631000	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1088.HK	0	30.65	631000	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	2318.HK	0	49.6	2126000	170	2]	156	2]	95%75	60%96	2318.HK_pos_good9_mult_lstm, 2318.HK_pos_reg4_mult_lstm	2318.HK_neg_low1__mult_gru, 2318.HK_neg_reg4_mult_dense2
22	2025-07-07 01:30:00	2318.HK	0	49.5	2126000	176	2]	155	2]	96%80	60%95	2318.HK_pos_good9_mult_lstm, 2318.HK_pos_reg4_mult_lstm	2318.HK_neg_low1__mult_gru, 2318.HK_neg_reg4_mult_dense2
21	2025-07-07 01:45:00	1088.HK	0	30.85	631000	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1088.HK	0	30.65	631000	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	2318.HK	0	49.6	2126000	170	2]	156	2]	95%75	60%96	2318.HK_pos_good9_mult_lstm, 2318.HK_pos_reg4_mult_lstm	2318.HK_neg_low1__mult_gru, 2318.HK_neg_reg4_mult_dense2
22	2025-07-07 01:30:00	2318.HK	0	49.5	2126000	176	2]	155	2]	96%80	60%95	2318.HK_pos_good9_mult_lstm, 2318.HK_pos_reg4_mult_lstm	2318.HK_neg_low1__mult_gru, 2318.HK_neg_reg4_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1088.HK	0	30.85	631000	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1088.HK	0	30.65	631000	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	2318.HK	0	49.6	2126000	170	2]	156	2]	95%75	60%96	2318.HK_pos_good9_mult_lstm, 2318.HK_pos_reg4_mult_lstm	2318.HK_neg_low1__mult_gru, 2318.HK_neg_reg4_mult_dense2
22	2025-07-07 01:30:00	2318.HK	0	49.5	2126000	176	2]	155	2]	96%80	60%95	2318.HK_pos_good9_mult_lstm, 2318.HK_pos_reg4_mult_lstm	2318.HK_neg_low1__mult_gru, 2318.HK_neg_reg4_mult_dense2
21	2025-07-07 01:45:00	2318.HK	0	49.6	2126000	170	2]	156	2]	95%75	60%96	2318.HK_pos_good9_mult_lstm, 2318.HK_pos_reg4_mult_lstm	2318.HK_neg_low1__mult_gru, 2318.HK_neg_reg4_mult_dense2
22	2025-07-07 01:30:00	2318.HK	0	49.5	2126000	176	2]	155	2]	96%80	60%95	2318.HK_pos_good9_mult_lstm, 2318.HK_pos_reg4_mult_lstm	2318.HK_neg_low1__mult_gru, 2318.HK_neg_reg4_mult_dense2
21	2025-07-07 01:45:00	1088.HK	0	30.85	631000	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1088.HK	0	30.65	631000	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1088.HK	0	30.85	631000	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1088.HK	0	30.65	631000	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	2318.HK	0	49.6	2126000	170	2]	156	2]	95%75	60%96	2318.HK_pos_good9_mult_lstm, 2318.HK_pos_reg4_mult_lstm	2318.HK_neg_low1__mult_gru, 2318.HK_neg_reg4_mult_dense2
22	2025-07-07 01:30:00	2318.HK	0	49.5	2126000	176	2]	155	2]	96%80	60%95	2318.HK_pos_good9_mult_lstm, 2318.HK_pos_reg4_mult_lstm	2318.HK_neg_low1__mult_gru, 2318.HK_neg_reg4_mult_dense2
21	2025-07-07 01:45:00	1299.HK	0	68.8	764400	125	2]	193	2]	75%50	96%97	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1299.HK	0	68.95	764400	100	2]	187	2]	75%25	96%91	1299.HK_pos_low1_mult_dense2, 1299.HK_pos_low1_mult_lstm	1299.HK_neg_low1_mult_lstm, 1299.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	1088.HK	0	30.85	631000	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
22	2025-07-07 01:30:00	1088.HK	0	30.65	631000	0	2]	0	2]	0%0	0%0	1088.HK_pos_reg4__mult_gru, 1088.HK_pos_good9_mult_lstm	1088.HK_neg_good9__mult_gru, 1088.HK_neg_low1_mult_dense2
21	2025-07-07 01:45:00	2318.HK	0	49.6	2126000	170	2]	156	2]	95%75	60%96	2318.HK_pos_good9_mult_lstm, 2318.HK_pos_reg4_mult_lstm	2318.HK_neg_low1__mult_gru, 2318.HK_neg_reg4_mult_dense2
22	2025-07-07 01:30:00	2318.HK	0	49.5	2126000	176	2]	155	2]	96%80	60%95	2318.HK_pos_good9_mult_lstm, 2318.HK_pos_reg4_mult_lstm	2318.HK_neg_low1__mult_gru, 2318.HK_neg_reg4_mult_dense2
